Item	Price	Quantity in Stock
item-230	41.99	59
item-231	22.99	72
item-232	17.99	37
item-233	42.99	173
item-234	9.99	87
item-235	27.99	187
item-236	50.99	168
item-237	38.99	167
item-238	8.99	101
item-239	30.99	97
item-240	25.99	39
item-241	18.99	131
item-242	36.99	17
item-243	38.99	156
item-244	23.99	124
item-245	50.99	132
item-246	15.99	125
item-247	35.99	190
item-248	11.99	162
item-249	9.99	165
item-250	46.99	103
item-251	58.99	154
item-252	46.99	24
item-253	25.99	108
item-254	14.99	91
item-255	7.99	197
item-256	38.99	58
item-257	51.99	162
item-258	52.99	152
item-259	60.99	38
item-260	40.99	98
item-261	31.99	53
item-262	26.99	37
item-263	1.99	191
item-264	58.99	106
item-265	10.99	37
item-266	30.99	99
item-267	29.99	120
item-268	1.99	67
item-269	18.99	136
item-270	18.99	58
item-271	15.99	161
item-272	31.99	181
item-273	16.99	101
item-274	9.99	158
item-275	19.99	179
item-276	40.99	40
item-277	45.99	77
item-278	42.99	199
item-279	10.99	72
item-280	25.99	7
item-281	5.99	136
item-282	28.99	42
item-283	49.99	102
item-284	12.99	124
item-285	7.99	143
item-286	23.99	23
item-287	50.99	62
item-288	44.99	180
item-289	22.99	65
item-290	15.99	153
item-291	58.99	39
item-292	39.99	57
item-293	2.99	187
item-294	46.99	155
item-295	52.99	51
item-296	44.99	167
item-297	49.99	148
item-298	25.99	35
item-299	8.99	193
item-300	28.99	31
item-301	53.99	183
item-302	40.99	39
item-303	24.99	156
item-304	8.99	188
item-305	6.99	36
item-306	41.99	174
item-307	38.99	84
item-308	57.99	28
item-309	40.99	22
item-310	57.99	129
item-311	52.99	140
item-312	28.99	92
item-313	33.99	17
item-314	60.99	100
item-315	43.99	166
item-316	35.99	69
item-317	42.99	110
item-318	35.99	77
item-319	8.99	87
item-320	56.99	92
item-321	10.99	198
item-322	53.99	131
item-323	4.99	190
item-324	18.99	59
item-325	6.99	39
item-326	52.99	157
item-327	42.99	105
item-328	16.99	39
item-329	4.99	81
item-330	59.99	70
item-331	52.99	8
item-332	26.99	71
item-333	4.99	172
item-334	18.99	95
item-335	1.99	19
item-336	46.99	10
item-337	4.99	149
item-338	39.99	127
item-339	5.99	181
item-340	12.99	59
item-341	42.99	67
item-342	49.99	25
item-343	5.99	172
item-344	51.99	127
item-345	56.99	113
item-346	11.99	22
item-347	31.99	136
item-348	49.99	56
item-349	34.99	79
item-350	8.99	83
item-351	7.99	67
item-352	57.99	7
item-353	29.99	94
item-354	36.99	116
item-355	3.99	164
item-356	31.99	82
item-357	28.99	70
item-358	19.99	181
item-359	54.99	142
item-360	35.99	84
item-361	44.99	135
item-362	17.99	120
item-363	50.99	21
item-364	50.99	99
item-365	52.99	23
item-366	37.99	197
item-367	48.99	104
item-368	23.99	106
item-369	25.99	156
item-370	11.99	57
item-371	16.99	77
item-372	52.99	90
item-373	44.99	149
item-374	7.99	136
item-375	5.99	112
item-376	52.99	134
item-377	11.99	17
item-378	10.99	140
item-379	19.99	92
item-380	27.99	176
item-381	12.99	173
item-382	32.99	179
item-383	39.99	162
item-384	30.99	17
item-385	23.99	44
item-386	33.99	35
item-387	34.99	129
item-388	9.99	90
item-389	49.99	128
item-390	31.99	30
item-391	50.99	169
item-392	4.99	141
item-393	53.99	112
item-394	60.99	113
item-395	51.99	87
item-396	47.99	190
item-397	19.99	26
item-398	31.99	199
item-399	30.99	161
item-400	53.99	20
item-401	50.99	177
item-402	20.99	102
item-403	33.99	28
item-404	55.99	98
item-405	35.99	164
item-406	13.99	168
item-407	7.99	73
item-408	38.99	160
item-409	36.99	111
item-410	15.99	130
item-411	2.99	107
item-412	18.99	168
item-413	46.99	55
item-414	26.99	193
item-415	8.99	47
item-416	41.99	141
item-417	58.99	194
item-418	37.99	45
item-419	42.99	64
item-420	17.99	190
item-421	26.99	187
item-422	7.99	153
item-423	43.99	48
item-424	21.99	27
item-425	27.99	94
item-426	18.99	42
item-427	29.99	99
item-428	43.99	156
item-429	8.99	118
item-430	46.99	158
item-431	55.99	93
item-432	18.99	196
item-433	52.99	113
item-434	59.99	20
item-435	43.99	33
item-436	54.99	8
item-437	14.99	156
item-438	51.99	40
item-439	26.99	191
item-440	16.99	16
item-441	5.99	125
item-442	2.99	193
item-443	2.99	148
item-444	47.99	176
item-445	55.99	120
item-446	2.99	125
item-447	2.99	80
item-448	58.99	126
item-449	57.99	69
item-450	42.99	14
item-451	12.99	98
item-452	53.99	199
item-453	5.99	138
item-454	24.99	115
item-455	50.99	95
item-456	29.99	23
item-457	60.99	175
item-458	57.99	48
item-459	16.99	151
item-460	43.99	68
item-461	54.99	72
item-462	50.99	44
item-463	37.99	24
item-464	9.99	118
item-465	11.99	54
item-466	29.99	117
item-467	27.99	193
item-468	51.99	170
item-469	39.99	154
item-470	34.99	93
item-471	3.99	126
item-472	48.99	62
item-473	51.99	186
item-474	8.99	114
item-475	2.99	189
item-476	24.99	155
item-477	47.99	128
item-478	26.99	24
item-479	25.99	193
item-480	47.99	45
item-481	26.99	51
item-482	7.99	39
item-483	44.99	125
item-484	28.99	124
item-485	42.99	162
item-486	5.99	148
item-487	49.99	117
item-488	1.99	85
item-489	42.99	176
item-490	9.99	35
item-491	53.99	196
item-492	34.99	58
item-493	8.99	184
item-494	45.99	175
item-495	48.99	92
item-496	45.99	93
item-497	58.99	160
item-498	29.99	159
item-499	26.99	103
item-500	5.99	109
item-501	42.99	78
item-502	35.99	33
item-503	32.99	107
item-504	42.99	54
item-505	44.99	94
item-506	43.99	110
item-507	42.99	86
item-508	49.99	40
item-509	12.99	153
item-510	33.99	56
item-511	23.99	61
item-512	8.99	197
item-513	47.99	103
item-514	58.99	181
item-515	12.99	196
item-516	20.99	127
item-517	6.99	191
item-518	49.99	199
item-519	37.99	96
item-520	39.99	159
item-521	26.99	129
item-522	38.99	178
item-523	51.99	66
item-524	16.99	164
item-525	38.99	38
item-526	38.99	113
item-527	47.99	5
item-528	18.99	200
item-529	48.99	83
item-530	1.99	196
item-531	6.99	83
item-532	4.99	95
item-533	59.99	187
item-534	21.99	50
item-535	40.99	146
item-536	3.99	22
item-537	6.99	126
item-538	51.99	165
item-539	39.99	171
item-540	12.99	194
item-541	36.99	80
item-542	2.99	142
item-543	4.99	58
item-544	56.99	151
item-545	14.99	65
item-546	22.99	183
item-547	8.99	39
item-548	30.99	195
item-549	23.99	7
item-550	47.99	10
item-551	24.99	103
item-552	16.99	111
item-553	11.99	25
item-554	58.99	34
item-555	10.99	141
item-556	31.99	27
item-557	50.99	104
item-558	33.99	154
item-559	30.99	11
item-560	41.99	98
item-561	4.99	32
item-562	2.99	22
item-563	50.99	92
item-564	51.99	122
item-565	27.99	68
item-566	12.99	14
item-567	56.99	84
item-568	25.99	151
item-569	43.99	126
item-570	46.99	9
item-571	47.99	83
item-572	38.99	119
item-573	35.99	71
item-574	60.99	26
item-575	32.99	147
item-576	11.99	28
item-577	8.99	57
item-578	4.99	60
item-579	17.99	166
item-580	47.99	83
item-581	34.99	124
item-582	9.99	170
item-583	53.99	18
item-584	14.99	24
item-585	34.99	51
item-586	42.99	147
item-587	27.99	42
item-588	51.99	102
item-589	25.99	184
item-590	23.99	6
item-591	36.99	172
item-592	35.99	156
item-593	2.99	158
item-594	11.99	163
item-595	25.99	127
item-596	28.99	67
item-597	41.99	145
item-598	18.99	185
item-599	4.99	147
item-600	30.99	116
item-601	23.99	167
item-602	5.99	47
item-603	5.99	5
item-604	19.99	41
item-605	40.99	48
item-606	3.99	14
item-607	29.99	117
item-608	60.99	155
item-609	36.99	113
item-610	9.99	100
item-611	25.99	7
item-612	52.99	86
item-613	4.99	18
item-614	33.99	117
item-615	26.99	142
item-616	60.99	142
item-617	35.99	157
item-618	42.99	162
item-619	44.99	55
item-620	17.99	60
item-621	24.99	17
item-622	8.99	172
item-623	27.99	51
item-624	47.99	174
item-625	21.99	24
item-626	50.99	126
item-627	7.99	175
item-628	17.99	53
item-629	13.99	101
item-630	26.99	178
item-631	24.99	180
item-632	40.99	153
item-633	35.99	138
item-634	11.99	68
item-635	31.99	119
item-636	46.99	61
item-637	52.99	143
item-638	40.99	91
item-639	54.99	90
item-640	22.99	18
item-641	26.99	189
item-642	54.99	81
item-643	10.99	101
item-644	32.99	126
item-645	11.99	164
item-646	24.99	139
item-647	9.99	170
item-648	39.99	46
item-649	2.99	76
item-650	42.99	122
item-651	37.99	118
item-652	8.99	102
item-653	53.99	73
item-654	43.99	173
item-655	59.99	175
item-656	46.99	102
item-657	41.99	73
item-658	56.99	125
item-659	54.99	193
item-660	49.99	189
item-661	48.99	36
item-662	54.99	10
item-663	7.99	50
item-664	33.99	59
item-665	36.99	130
item-666	51.99	32
item-667	36.99	101
item-668	20.99	159
item-669	36.99	36
item-670	41.99	83
item-671	16.99	177
item-672	28.99	157
item-673	28.99	185
item-674	47.99	43
item-675	28.99	165
item-676	43.99	55
item-677	36.99	60
item-678	23.99	158
item-679	28.99	200
item-680	8.99	163
item-681	2.99	97
item-682	10.99	163
item-683	26.99	86
item-684	14.99	112
item-685	34.99	77
item-686	21.99	101
item-687	31.99	31
item-688	25.99	133
item-689	46.99	125
item-690	31.99	58
item-691	6.99	182
item-692	46.99	85
item-693	31.99	5
item-694	23.99	54
item-695	53.99	115
item-696	21.99	93
item-697	4.99	190
item-698	39.99	79
item-699	43.99	196
item-700	22.99	153
item-701	20.99	182
item-702	48.99	9
item-703	14.99	65
item-704	56.99	78
item-705	50.99	164
item-706	33.99	105
item-707	55.99	143
item-708	4.99	59
item-709	40.99	82
item-710	57.99	175
item-711	2.99	8
item-712	4.99	38
item-713	43.99	133
item-714	48.99	54
item-715	8.99	157
item-716	25.99	73
item-717	13.99	111
item-718	21.99	184
item-719	51.99	130
item-720	34.99	182
item-721	10.99	144
item-722	10.99	94
item-723	15.99	100
item-724	56.99	130
item-725	55.99	145
item-726	26.99	161
item-727	40.99	69
item-728	60.99	151
item-729	29.99	42
item-730	24.99	168
item-731	49.99	184
item-732	7.99	115
item-733	32.99	99
item-734	60.99	182
item-735	53.99	40
item-736	41.99	12
item-737	24.99	145
item-738	15.99	101
item-739	29.99	67
item-740	58.99	76
item-741	7.99	124
item-742	46.99	164
item-743	25.99	11
item-744	5.99	38
item-745	8.99	74
item-746	41.99	55
item-747	31.99	67
item-748	12.99	188
item-749	31.99	174
item-750	7.99	137
item-751	60.99	36
item-752	4.99	19
item-753	13.99	125
item-754	43.99	85
item-755	1.99	24
item-756	50.99	196
item-757	28.99	178
item-758	52.99	80
item-759	31.99	47
item-760	38.99	65
item-761	33.99	139
item-762	18.99	176
item-763	43.99	99
item-764	23.99	165
item-765	59.99	92
item-766	57.99	116
item-767	11.99	6
item-768	48.99	39
item-769	55.99	168
item-770	18.99	159
item-771	37.99	193
item-772	37.99	181
item-773	1.99	155
item-774	18.99	77
item-775	51.99	188
item-776	49.99	50
item-777	10.99	152
item-778	43.99	78
item-779	44.99	14
item-780	15.99	154
item-781	16.99	191
item-782	34.99	29
item-783	16.99	58
item-784	26.99	186
item-785	53.99	133
item-786	36.99	89
item-787	17.99	172
item-788	3.99	162
item-789	20.99	190
item-790	48.99	188
item-791	56.99	120
item-792	34.99	9
item-793	57.99	182
item-794	49.99	15
item-795	23.99	187
item-796	19.99	18
item-797	55.99	154
item-798	14.99	71
item-799	49.99	125
item-800	57.99	51
item-801	35.99	73
item-802	47.99	179
item-803	23.99	88
item-804	44.99	71
item-805	4.99	21
item-806	34.99	136
item-807	40.99	186
item-808	12.99	152
item-809	37.99	130
item-810	22.99	31
item-811	5.99	104
item-812	23.99	68
item-813	5.99	117
item-814	35.99	158
item-815	52.99	193
item-816	50.99	112
item-817	43.99	197
item-818	15.99	144
item-819	51.99	180
item-820	5.99	137
item-821	34.99	162
item-822	36.99	121
item-823	23.99	138
item-824	21.99	68
item-825	14.99	42
item-826	2.99	79
item-827	45.99	191
item-828	52.99	91
item-829	36.99	168
item-830	6.99	186
item-831	29.99	92
item-832	44.99	13
item-833	9.99	147
item-834	38.99	111
item-835	34.99	135
item-836	58.99	112
item-837	54.99	88
item-838	32.99	157
item-839	42.99	168
item-840	37.99	53
item-841	31.99	188
item-842	45.99	134
item-843	53.99	197
item-844	24.99	123
item-845	14.99	33
item-846	4.99	49
item-847	17.99	141
item-848	52.99	82
item-849	11.99	103
item-850	55.99	139
item-851	27.99	149
item-852	29.99	65
item-853	28.99	60
item-854	57.99	87
item-855	45.99	193
item-856	4.99	184
item-857	30.99	18
item-858	15.99	127
item-859	16.99	141
item-860	41.99	152
item-861	5.99	185
item-862	48.99	136
item-863	1.99	157
item-864	42.99	185
item-865	51.99	165
item-866	53.99	172
item-867	14.99	148
item-868	52.99	151
item-869	25.99	76
item-870	12.99	156
item-871	33.99	15
item-872	37.99	132
item-873	9.99	151
item-874	8.99	188
item-875	57.99	12
item-876	44.99	19
item-877	24.99	161
item-878	35.99	16
item-879	48.99	134
item-880	52.99	119
item-881	17.99	42
item-882	49.99	79
item-883	30.99	197
item-884	21.99	50
item-885	42.99	176
item-886	56.99	172
item-887	33.99	97
item-888	33.99	68
item-889	28.99	187
item-890	38.99	103
item-891	20.99	10
item-892	15.99	102
item-893	49.99	42
item-894	12.99	111
item-895	6.99	190
item-896	34.99	21
item-897	41.99	64
item-898	51.99	88
item-899	46.99	80
item-900	45.99	87
item-901	55.99	157
item-902	51.99	101
item-903	48.99	64
item-904	9.99	33
item-905	31.99	82
item-906	41.99	138
item-907	56.99	66
item-908	52.99	145
item-909	49.99	58
item-910	20.99	113
item-911	48.99	195
item-912	17.99	73
item-913	4.99	65
item-914	9.99	121
item-915	25.99	185
item-916	42.99	175
item-917	8.99	128
item-918	29.99	63
item-919	12.99	7
item-920	16.99	21
item-921	45.99	96
item-922	34.99	138
item-923	25.99	131
item-924	20.99	37
item-925	7.99	190
item-926	32.99	5
item-927	26.99	113
item-928	46.99	47
item-929	41.99	61
item-930	14.99	135
item-931	33.99	145
item-932	47.99	112
item-933	46.99	186
item-934	17.99	117
item-935	44.99	21
item-936	54.99	32
item-937	27.99	32
item-938	32.99	35
item-939	21.99	111
item-940	5.99	175
item-941	39.99	156
item-942	10.99	86
item-943	32.99	200
item-944	23.99	31
item-945	26.99	54
item-946	20.99	136
item-947	20.99	89
item-948	36.99	63
item-949	1.99	17
item-950	14.99	23
item-951	45.99	69
item-952	9.99	96
item-953	10.99	125
item-954	9.99	112
item-955	2.99	93
item-956	7.99	193
item-957	14.99	137
item-958	31.99	60
item-959	40.99	193
item-960	30.99	18
item-961	24.99	59
item-962	52.99	74
item-963	46.99	7
item-964	60.99	142
item-965	11.99	136
item-966	52.99	98
item-967	29.99	129
item-968	30.99	198
item-969	1.99	67
item-970	42.99	146
item-971	6.99	64
item-972	44.99	20
item-973	35.99	94
item-974	57.99	88
item-975	29.99	23
item-976	56.99	114
item-977	56.99	178
item-978	32.99	158
item-979	40.99	182
item-980	38.99	16
item-981	58.99	6
item-982	43.99	32
item-983	16.99	189
item-984	8.99	84
item-985	29.99	118
item-986	18.99	188
item-987	49.99	9
item-988	40.99	116
item-989	51.99	19
item-990	20.99	17
item-991	15.99	5
item-992	50.99	171
item-993	44.99	96
item-994	34.99	122
item-995	34.99	176
item-996	43.99	81
item-997	47.99	14
item-998	29.99	56
item-999	34.99	199
